2026-04-06 17:12:59,813 | INFO     | datalogger | ============================================================
2026-04-06 17:12:59,813 | INFO     | datalogger | Data Logger v1.0.0 — Khởi động
2026-04-06 17:12:59,813 | INFO     | datalogger | ============================================================
2026-04-06 17:12:59,814 | INFO     | datalogger | Database initialized.
2026-04-06 17:13:00,073 | INFO     | datalogger | Giao diện đã sẵn sàng.
2026-04-06 17:13:19,344 | INFO     | datalogger.main | Đang dừng tất cả Workers...
2026-04-06 17:13:19,344 | INFO     | datalogger.main | Tất cả Workers đã dừng. Thoát ứng dụng.
2026-04-06 18:42:42,472 | INFO     | datalogger | ============================================================
2026-04-06 18:42:42,472 | INFO     | datalogger | Data Logger v2.0-HMI — Khởi động
2026-04-06 18:42:42,472 | INFO     | datalogger | ============================================================
2026-04-06 18:42:42,473 | INFO     | datalogger | Database initialized.
2026-04-06 18:43:00,574 | INFO     | datalogger | ============================================================
2026-04-06 18:43:00,574 | INFO     | datalogger | Data Logger v2.0-HMI — Khởi động
2026-04-06 18:43:00,574 | INFO     | datalogger | ============================================================
2026-04-06 18:43:00,577 | INFO     | datalogger | Database initialized.
2026-04-06 18:43:10,907 | INFO     | datalogger | ============================================================
2026-04-06 18:43:10,907 | INFO     | datalogger | Data Logger v2.0-HMI — Khởi động
2026-04-06 18:43:10,907 | INFO     | datalogger | ============================================================
2026-04-06 18:43:10,909 | INFO     | datalogger | Database initialized.
2026-04-06 18:43:11,162 | INFO     | datalogger | Giao diện HMI 1024x600 đã sẵn sàng.
2026-04-06 18:50:40,287 | INFO     | datalogger | ============================================================
2026-04-06 18:50:40,287 | INFO     | datalogger | Data Logger v2.0-HMI — Khởi động
2026-04-06 18:50:40,287 | INFO     | datalogger | ============================================================
2026-04-06 18:50:40,289 | INFO     | datalogger | Database initialized.
2026-04-06 18:50:40,578 | INFO     | datalogger | Giao diện HMI 1024x600 đã sẵn sàng.
2026-04-06 18:51:32,497 | INFO     | datalogger | ============================================================
2026-04-06 18:51:32,497 | INFO     | datalogger | Data Logger v2.0-HMI — Khởi động
2026-04-06 18:51:32,497 | INFO     | datalogger | ============================================================
2026-04-06 18:51:32,499 | INFO     | datalogger | Database initialized.
2026-04-06 18:51:32,768 | INFO     | datalogger | Giao diện HMI 1024x600 đã sẵn sàng.
2026-04-06 18:51:50,888 | INFO     | datalogger | ============================================================
2026-04-06 18:51:50,888 | INFO     | datalogger | Data Logger v2.0-HMI — Khởi động
2026-04-06 18:51:50,888 | INFO     | datalogger | ============================================================
2026-04-06 18:51:50,890 | INFO     | datalogger | Database initialized.
2026-04-06 18:51:51,134 | INFO     | datalogger | Giao diện HMI 1024x600 đã sẵn sàng.
2026-04-18 17:24:24,952 | INFO     | datalogger | ============================================================
2026-04-18 17:24:24,953 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:24:24,953 | INFO     | datalogger | ============================================================
2026-04-18 17:24:24,956 | INFO     | datalogger | Database initialized.
2026-04-18 17:24:25,040 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:24:25,045 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:24:25,187 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:24:30,913 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:24:58,610 | INFO     | ui.sensor_model | SensorListModel refreshed: 1 sensors
2026-04-18 17:25:12,119 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:27:16,796 | INFO     | datalogger | ============================================================
2026-04-18 17:27:16,796 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:27:16,796 | INFO     | datalogger | ============================================================
2026-04-18 17:27:16,799 | INFO     | datalogger | Database initialized.
2026-04-18 17:27:16,888 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:27:16,897 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:27:17,038 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:27:39,744 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:27:54,362 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:28:06,261 | INFO     | datalogger.history | Search done: 0 records
2026-04-18 17:32:38,804 | INFO     | datalogger | ============================================================
2026-04-18 17:32:38,804 | INFO     | datalogger | Data Logger — Khởi động
2026-04-18 17:32:38,804 | INFO     | datalogger | ============================================================
2026-04-18 17:32:38,808 | INFO     | datalogger | Database initialized.
2026-04-18 17:32:38,882 | INFO     | ui.settings_controller | AppConfig loaded (id=1)
2026-04-18 17:32:38,888 | INFO     | datalogger | Loading QML: /home/haiquy/Documents/data-logger/ui/qml/Main.qml
2026-04-18 17:32:39,029 | INFO     | datalogger | QML loaded thành công. App đang chạy.
2026-04-18 17:33:10,645 | INFO     | datalogger.modbus | Cập nhật danh sách cảm biến: 1 sensors
